Forage: 50, 52, 39, 42, 36, 36, 38, 26, 26
Forage: 46, 42, 36, 42, 37, 39, 30, 35, 32
Forage: 46, 52, 36, 45, 43, 34, 33, 31, 30
Forage: 45, 49, 43, 40, 39, 31, 33, 33, 28
Forage: 42, 52, 45, 40, 35, 32, 33, 31, 30
Forage: 45, 50, 43, 35, 34, 37, 30, 30, 36
Forage: 44, 53, 45, 44, 38, 35, 32, 31, 24
Forage: 41, 47, 47, 44, 38, 29, 33, 33, 31
Forage: 45, 48, 45, 41, 38, 33, 32, 35, 24
Forage: 50, 50, 49, 39, 44, 37, 34, 33
Forage: 46, 49, 52, 41, 36, 34, 33, 29, 27
Forage: 47, 50, 42, 41, 41, 33, 34, 28, 29
Forage: 43, 50, 45, 33, 40, 32, 32, 24, 28, 23
Forage: 50, 50, 43, 45, 39, 35, 30, 32, 23
Forage: 49, 47, 44, 38, 33, 35, 36, 33, 27
Forage: 44, 55, 48, 34, 37, 33, 33, 31, 32
Forage: 46, 52, 44, 39, 38, 34, 35, 26, 23
Forage: 41, 51, 42, 43, 37, 40, 35, 33, 33
Forage: 50, 51, 42, 44, 38, 29, 34, 32, 30
Forage: 50, 48, 47, 42, 37, 38, 34, 24, 30
Forage: 43, 50, 42, 39, 36, 37, 32, 29, 27
Forage: 42, 49, 46, 36, 41, 37, 32, 34, 33
Forage: 49, 50, 43, 40, 45, 31, 36, 31, 31
Forage: 41, 50, 41, 44, 44, 38, 36, 29, 25
Forage: 44, 48, 38, 40, 38, 34, 31, 33, 31
Forage: 45, 50, 45, 43, 40, 34, 26, 33, 26
Forage: 47, 51, 43, 43, 42, 37, 28, 32, 25
Forage: 46, 47, 44, 47, 35, 34, 28, 32, 29
Forage: 42, 49, 47, 38, 36, 35, 32, 28, 30
Forage: 49, 50, 46, 40, 37, 35, 34, 30, 28
